gap_id,source_key,source_name,gap_type,severity,description,recommended_action,owner,blocks_adjudication
gap_001,patentsview_uspto,PatentsView / USPTO,frescura_vencida,media,Fuente vencida al 2026-05-19 (sin fecha dias de atraso).,"Ejecutar refresh focalizado, validar outputs y actualizar runtime.",observatorio-cchen,False
gap_002,string_db,STRING DB,segunda_ola_por_validar,baja,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.,Evaluar relevancia CCHEN y estimar costo de implementacion antes de activar.,observatorio-cchen,False
gap_003,uniprot,UniProt,segunda_ola_por_validar,baja,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.,Evaluar relevancia CCHEN y estimar costo de implementacion antes de activar.,observatorio-cchen,False
gap_004,base,BASE,segunda_ola_por_validar,baja,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.,Evaluar relevancia CCHEN y estimar costo de implementacion antes de activar.,observatorio-cchen,False
gap_005,core,CORE,segunda_ola_por_validar,baja,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.,Evaluar relevancia CCHEN y estimar costo de implementacion antes de activar.,observatorio-cchen,False
gap_006,doaj,DOAJ,segunda_ola_por_validar,baja,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.,Evaluar relevancia CCHEN y estimar costo de implementacion antes de activar.,observatorio-cchen,False
gap_007,figshare,Figshare,segunda_ola_por_validar,baja,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.,Evaluar relevancia CCHEN y estimar costo de implementacion antes de activar.,observatorio-cchen,False
gap_008,hal,HAL,segunda_ola_por_validar,baja,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.,Evaluar relevancia CCHEN y estimar costo de implementacion antes de activar.,observatorio-cchen,False
gap_009,biorxiv,bioRxiv,segunda_ola_por_validar,baja,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.,Evaluar relevancia CCHEN y estimar costo de implementacion antes de activar.,observatorio-cchen,False
gap_010,medrxiv,medRxiv,segunda_ola_por_validar,baja,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.,Evaluar relevancia CCHEN y estimar costo de implementacion antes de activar.,observatorio-cchen,False
gap_011,epo_ops,EPO (OPS),segunda_ola_por_validar,baja,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.,Evaluar relevancia CCHEN y estimar costo de implementacion antes de activar.,observatorio-cchen,False
gap_012,espacenet,Espacenet,segunda_ola_por_validar,baja,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.,Evaluar relevancia CCHEN y estimar costo de implementacion antes de activar.,observatorio-cchen,False
gap_013,wipo_patentscope,WIPO Patentscope,segunda_ola_por_validar,baja,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.,Evaluar relevancia CCHEN y estimar costo de implementacion antes de activar.,observatorio-cchen,False
gap_014,Data/Publications/cchen_crossref_enriched.csv,CrossRef enriched,calidad_advertencia,media,Baja completeness en 'crossref_funders': 26% (umbral: 30%),"Documentar causa, aceptar explicitamente o corregir antes del traspaso.",observatorio-cchen,False
gap_015,Data/Publications/cchen_openalex_grants.csv,OpenAlex grants,calidad_advertencia,media,Archivo CSV vacío,"Documentar causa, aceptar explicitamente o corregir antes del traspaso.",observatorio-cchen,False
gap_016,Publications/*,INTEGRIDAD: authorships → publications,calidad_advertencia,media,1 work_ids huérfanos en authorships,"Documentar causa, aceptar explicitamente o corregir antes del traspaso.",observatorio-cchen,False
gap_017,Publications/*,INTEGRIDAD: concepts → publications,calidad_advertencia,media,1 work_ids huérfanos en concepts,"Documentar causa, aceptar explicitamente o corregir antes del traspaso.",observatorio-cchen,False
gap_018,Data/Gobernanza/entity_links.csv,Integridad entity_links,calidad_advertencia,media,"3 enlaces con target_id sin registro canónico (ej: ['puc mg', 'universidad veracruzana', 'universidad san francisco de quito'])","Documentar causa, aceptar explicitamente o corregir antes del traspaso.",observatorio-cchen,False
