artifact,group_field,group_value,records,generated_at
literature,relation_scope,chile_latam_util,31,2026-05-19T20:52:42
literature,relation_scope,revisar_manual,90,2026-05-19T20:52:42
literature,relation_scope,ruido_probable,17,2026-05-19T20:52:42
literature,relation_scope,vigilancia_global_util,113,2026-05-19T20:52:42
literature,information_type,dosimetria_seguridad_radiologica,34,2026-05-19T20:52:42
literature,information_type,otro_revisar,75,2026-05-19T20:52:42
literature,information_type,paper_clinico_pet_spect,38,2026-05-19T20:52:42
literature,information_type,produccion_ciclotron_control_calidad,29,2026-05-19T20:52:42
literature,information_type,radiofarmaco_teranostico_compuesto,75,2026-05-19T20:52:42
literature,curation_decision,descartar_ruido,17,2026-05-19T20:52:42
literature,curation_decision,mantener_recurrente,31,2026-05-19T20:52:42
literature,curation_decision,mantener_vigilancia,113,2026-05-19T20:52:42
literature,curation_decision,revisar_manual,90,2026-05-19T20:52:42
literature,seed_key,ciclotron_f18,39,2026-05-19T20:52:42
literature,seed_key,control_calidad_radiofarmacos,31,2026-05-19T20:52:42
literature,seed_key,dosimetria_medicina_nuclear,26,2026-05-19T20:52:42
literature,seed_key,f18_fdg,39,2026-05-19T20:52:42
literature,seed_key,ga68_dotatate,21,2026-05-19T20:52:42
literature,seed_key,i131,40,2026-05-19T20:52:42
literature,seed_key,lu177_dotatate,16,2026-05-19T20:52:42
literature,seed_key,tc99m_sestamibi,39,2026-05-19T20:52:42
literature,source_system,EuropePMC,151,2026-05-19T20:52:42
literature,source_system,PubMed,100,2026-05-19T20:52:42
compounds,relation_scope,semilla_cchen,11,2026-05-19T20:52:42
compounds,information_type,ficha_compuesto_radionuclido,11,2026-05-19T20:52:42
compounds,curation_decision,mantener_recurrente,11,2026-05-19T20:52:42
compounds,seed_key,f18_fdg,2,2026-05-19T20:52:42
compounds,seed_key,ga68_dotatate,2,2026-05-19T20:52:42
compounds,seed_key,i131,2,2026-05-19T20:52:42
compounds,seed_key,lu177_dotatate,2,2026-05-19T20:52:42
compounds,seed_key,tc99m_sestamibi,3,2026-05-19T20:52:42
